id,scope,scope_label,model,domain,domain_zh,variant,variant_zh,measure,evaluation_metric,passed,judged,planned,missing,unique_tasks,posthoc_runs,rate,percentage,display_percentage,confirmed_lower_bound_rate_all_planned,source_hostname,source_path,source_file_sha256,updated_at
glm_core_3runs/chemistry/all/P,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,chemistry,化学,all,全部,P,numerical_ID_and_OOD,3,60,60,0,20,0,0.05,5.0,5.00%,0.05,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/chemistry/all/M,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,chemistry,化学,all,全部,M,numerical_ID_and_OOD,0,60,60,0,20,0,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/biology/all/P,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,biology,生物,all,全部,P,numerical_ID_and_OOD,5,60,60,0,20,0,0.08333333333333333,8.333333333333334,8.33%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/biology/all/M,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,biology,生物,all,全部,M,numerical_ID_and_OOD,0,60,60,0,20,0,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/material/all/P,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,material,材料,all,全部,P,numerical_ID_and_OOD,4,60,60,0,20,0,0.06666666666666667,6.666666666666667,6.67%,0.06666666666666667,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/material/all/M,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,material,材料,all,全部,M,numerical_ID_and_OOD,0,60,60,0,20,0,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/physics/all/P,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,physics,物理,all,全部,P,numerical_ID_and_OOD,24,127,128,1,128,0,0.1889763779527559,18.89763779527559,18.90%,0.1875,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/physics/all/M,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,physics,物理,all,全部,M,numerical_ID_and_OOD,5,127,128,1,128,0,0.03937007874015748,3.937007874015748,3.94%,0.0390625,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/chemistry/all/P,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,chemistry,化学,all,全部,P,numerical_ID_and_OOD,2,126,128,2,128,0,0.015873015873015872,1.5873015873015872,1.59%,0.015625,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/chemistry/all/M,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,chemistry,化学,all,全部,M,numerical_ID_and_OOD,0,125,128,3,128,0,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/biology/all/P,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,biology,生物,all,全部,P,numerical_ID_and_OOD,4,128,128,0,128,0,0.03125,3.125,3.13%,0.03125,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/biology/all/M,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,biology,生物,all,全部,M,numerical_ID_and_OOD,3,128,128,0,128,0,0.0234375,2.34375,2.34%,0.0234375,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/material/all/P,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,material,材料,all,全部,P,numerical_ID_and_OOD,5,125,128,3,128,0,0.04,4.0,4.00%,0.0390625,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_full_first/material/all/M,glm_full_first,GLM Full（首次）,z-ai/glm-5.3-flash,material,材料,all,全部,M,numerical_ID_and_OOD,2,125,128,3,128,0,0.016,1.6,1.60%,0.015625,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
